Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,28,24,15,16,22
BOS,21,23,14,2,24
BRO,17,2,23,19,30
CHA,2,17,28,30,9
CHI,16,16,17,13,26
CLE,15,26,7,27,25
DAL,18,15,1,25,21
DEN,7,6,20,5,2
DET,11,20,5,29,4
GSW,9,10,22,18,7
HOU,13,30,4,6,17
IND,23,8,21,23,5
LAC,20,18,2,8,3
LAL,4,9,6,14,18
MEM,19,12,18,26,11
MIA,3,19,16,22,15
MIL,10,3,24,11,23
MIN,25,25,9,21,19
NOP,12,27,29,24,12
NYK,6,5,3,3,8
OKL,14,11,30,12,20
ORL,29,28,25,15,6
PHI,8,22,12,10,1
PHX,1,1,8,7,13
POR,24,21,11,4,28
SAC,26,29,27,28,16
SAS,30,4,13,9,14
TOR,22,13,26,20,10
UTA,5,7,10,1,27
WAS,27,14,19,17,29
